#{"t_start": 1647610526.7987957, "env_id": null}
r,l,t
-102449.240066,1202,1.58185
-7404.111419,1202,6.191685
-17236.636186,1202,7.509924
-23987.469617,1202,12.123753
-43082.605453,1202,13.422014
-17250.676257,1202,18.17965
-16428.244666,1202,23.105062
-1567.257331,1202,24.43129
-1479.172146,1202,29.368685
-1474.600158,1202,30.686921
-1425.655005,1202,35.692259
-2070.990853,1202,40.697532
-1869.974869,1202,41.983811
-1976.850728,1202,47.029099
-1694.027702,1202,48.391241
-1684.69007,1202,53.867918
-1628.397471,1202,55.202134
-1675.803805,1202,60.387197
-1520.65706,1202,65.612209
-1538.275222,1202,66.914469
-1513.839999,1202,72.207358
-3668.209469,1202,73.627143
-1683.972981,1202,79.648375
-2884.073039,1202,85.049149
-2085.025354,1202,86.427307
-1848.592284,1202,92.051785
-2880.182018,1202,93.389994
-10563.347837,1202,98.451224
-2466.558398,1202,103.684222
-1825.653789,1202,104.998468
-1939.634862,1202,110.007768
-1988.146993,1202,111.349972
-1697.819114,1202,116.443158
-1747.55121,1202,117.753406
-1842.255178,1202,123.146194
-1698.196989,1202,129.042307
-1520.65706,1202,130.512339
-1520.65706,1202,136.256658
-1520.770074,1202,137.558914
-1460.636619,1202,143.083527
-203155.752695,1202,148.176714
-191560.064688,1202,149.49495
-193337.352415,1202,154.484278
-146116.05185,1202,155.750581
-169337.410351,1202,160.8957
-143396.502175,1202,162.17399
-128369.942981,1202,167.514848
-147008.360351,1202,172.959564
-133888.692527,1202,174.229868
-134774.119861,1202,179.239166
-112650.012579,1202,180.525445
-100186.399309,1202,185.558714
-115233.584981,1202,190.795709
-57046.52653,1202,192.073998
-72937.763618,1202,197.031368
-33901.270256,1202,198.349606
-19509.056896,1202,203.394855
-29740.347184,1202,208.575926
-38549.156435,1202,209.902152
-64922.689335,1202,215.422771
-144488.160006,1202,216.717037
-65293.010594,1202,222.00999
-193666.143096,1202,223.300231
-133469.266434,1202,228.42541
-143902.555126,1202,233.578483
-208730.438947,1202,234.872753
-191948.821778,1202,240.097764
-144512.458436,1202,241.356081
-175277.402364,1202,246.449269
-16444.518608,1202,251.362729
-174183.819039,1202,252.617018
-136345.300385,1202,257.522461
-201954.926686,1202,258.784771
-189305.150181,1202,263.730155
-136516.987242,1202,268.799411
-132626.336098,1202,270.101668
-145676.41736,1202,275.458467
-138614.687503,1202,276.740752
-131604.22942,1202,282.005711
-128857.925121,1202,283.248049
-130486.982063,1202,288.724723
-167436.092869,1202,294.089565
-44165.676564,1202,295.427758
-67146.061389,1202,300.433096
-169811.157348,1202,301.71535
-222690.55161,1202,306.668724
-169012.571821,1202,311.682059
-230048.441046,1202,312.944328
-105249.475427,1202,318.237252
-32867.027935,1202,319.551524
-32314.679821,1202,324.780499
-60960.253928,1202,326.046804
-226066.570132,1202,331.319752
-215686.159509,1202,336.536773
-212553.412302,1202,337.791095
-232467.903899,1202,343.016109
-163062.856472,1202,344.294397
-166043.005879,1202,349.651233
-232668.95818,1202,355.123911
-208489.686988,1202,356.414186
-148224.140178,1202,361.890863
-134911.125556,1202,363.173146
-17178.771999,1202,368.557976
-147146.695981,1202,373.862848
-109924.208895,1202,375.193068
-174304.673251,1202,380.745643
-222189.546049,1202,382.031921
-167401.242197,1202,387.432735
-78912.530157,1202,388.734956
-181714.551491,1202,394.179675
-165039.502218,1202,399.600422
-124075.297598,1202,400.85075
-156305.183764,1202,406.035815
-139953.967773,1202,407.32609
-123463.117756,1202,412.742845
-241887.915528,1202,418.043754
-139059.440912,1202,419.350007
-159068.498092,1202,424.698853
-160911.191005,1202,426.025079
-149378.162177,1202,431.206148
-221954.845083,1202,436.519044
-161733.112857,1202,437.821303
-229073.255781,1202,443.218082
-226093.591407,1202,444.480425
-47122.428319,1202,450.02498
-5261.824335,1202,451.335227
-6586.294149,1202,456.616165
-6529.392321,1202,461.93305
-14741.637077,1202,463.223325
-15513.153639,1202,468.915713
-5472.869926,1202,470.201989
-6485.419618,1202,475.974302
-8167.784281,1202,481.826478
-21406.241876,1202,483.112721
-36524.167256,1202,488.877014
-32407.013927,1202,490.127342
-45480.522388,1202,495.911638
-21037.890109,1202,497.221849
-42426.350724,1202,502.862308
-46057.715821,1202,508.554694
-27588.222576,1202,509.860945
-27818.557377,1202,515.876898
-33537.62712,1202,517.366906
-24441.058648,1202,523.48672
-52001.2061,1202,529.590593
-104322.126142,1202,530.952733
-107350.707597,1202,536.653111
-71690.276793,1202,537.927404
-46271.779068,1202,543.571855
-72861.595407,1202,549.276224
-3504.139879,1202,550.562504
-3473.6373,1202,556.266876
-3763.196333,1202,557.577123
-3586.530257,1202,563.301466
-18786.169403,1202,564.575761
-29123.373771,1202,570.376036
-16997.424799,1202,576.284104
-2006.413061,1202,577.602337
-1991.234776,1202,583.814029
-2080.571847,1202,585.192187
-1970.936524,1202,591.216131
-1520.657059,1202,597.383881
-1413.200907,1202,598.690134
-1411.363998,1202,604.897831
-2406.708767,1202,606.21207
-2196.190126,1202,612.427757
-1917.724049,1202,618.663416
-203155.722942,1202,619.949696
-201826.219107,1202,625.422375
-203155.752695,1202,626.680693
-203155.752695,1202,632.189358
-203155.752695,1202,633.471612
-203155.752695,1202,639.371719
-203155.752695,1202,645.287805
-203155.752695,1202,646.566095
-203155.752695,1202,652.478189
-192404.127498,1202,653.736505
-203155.752695,1202,659.588677
-203155.752695,1202,665.484794
-203155.752695,1202,666.767076
-203155.752695,1202,672.691153
-189092.931756,1202,673.981427
-202025.766886,1202,679.897516
-192674.222903,1202,681.179798
-203155.752695,1202,687.179772
-190804.994584,1202,693.059947
-193742.865453,1202,694.334203
-164912.586524,1202,700.238306
-137826.71223,1202,701.500621
-157241.033665,1202,707.252924
-161560.562785,1202,713.001237
-154975.660871,1202,714.259587
-190239.409225,1202,720.187624
-136821.117833,1202,721.46991
-181881.403546,1202,727.290123
-146109.08709,1202,733.114336
-121872.742813,1202,734.392623
-123610.557333,1202,740.120988
-124651.328296,1202,741.415232
-133815.011707,1202,747.167537
-183620.615564,1202,748.425895
-118940.713874,1202,754.226099
-151053.977025,1202,760.10623
-178666.492457,1202,761.396538
-232364.319595,1202,767.272649
-214356.888912,1202,768.542979
-245035.349513,1202,774.307237
-152159.143189,1202,780.171393
-196367.632861,1202,781.441696
